file,faces,mean_luma,p10,p95,mean_saturation,face_luma,face_saturation,exposure_ev,shadow_lift,highlight_comp,background_saturation,face_gain,diagnosis
aleksandr-gasnikov.jpg,1,0.1956,0.0364,0.4468,0.3578,0.2133,0.4982,0.38,0.045,0.0,0.82,1.1,DEEP_SHADOWS;FACE_DARK
aleksandr-gorban.jpg,1,0.612,0.1396,0.991,0.2377,0.6249,0.3564,-0.186,0.0,0.144,0.94,1.0,HIGHLIGHT_HEAVY
aleksandr-korotin.jpg,1,0.5524,0.1725,0.975,0.2651,0.5424,0.3883,-0.124,0.0,0.127,0.88,1.0,HIGHLIGHT_HEAVY
aleksandr-kraynov.jpg,1,0.3599,0.06,0.7963,0.2168,0.5408,0.2703,0.135,0.029,0.0,0.94,1.0,DEEP_SHADOWS
aleksandr-kvashnin.jpg,3,0.4224,0.139,0.8457,0.3198,0.4568,0.3401,0.038,0.0,0.0,0.88,1.0,MINIMAL_CORRECTION
aleksandr-peremyatov.jpg,1,0.6265,0.1269,0.9916,0.1518,0.6933,0.1865,-0.201,0.0,0.145,0.94,0.955,HIGHLIGHT_HEAVY;FACE_BRIGHT
aleksandr-tormasov.jpg,2,0.5966,0.3788,0.9093,0.2301,0.6181,0.2856,-0.171,0.0,0.054,0.94,1.0,HIGHLIGHT_HEAVY
aleksey-nikitin.jpg,1,0.4719,0.0927,0.9401,0.2771,0.4363,0.3818,-0.029,0.008,0.088,0.88,1.055,HIGHLIGHT_HEAVY
aleksey-savvateev.jpg,0,0.4578,0.1141,0.9784,0.2956,0.5535,0.2946,-0.01,0.0,0.13,0.88,1.0,HIGHLIGHT_HEAVY;PROFILE_OR_NO_FACE_FALLBACK
andrey-grabovoy.jpg,1,0.508,0.1129,0.9244,0.1974,0.5262,0.3292,-0.073,0.0,0.071,0.94,1.0,HIGHLIGHT_HEAVY
andrey-kuznetsov.jpg,0,0.4793,0.0995,0.8466,0.225,0.547,0.2662,-0.038,0.004,0.0,0.94,1.0,PROFILE_OR_NO_FACE_FALLBACK
andrey-zima.jpg,1,0.4751,0.1301,0.8883,0.222,0.3623,0.359,-0.033,0.0,0.031,0.94,1.1,FACE_DARK
ararat-tulynin.jpg,1,0.1615,0.0398,0.4624,0.2721,0.2819,0.3214,0.38,0.042,0.0,0.88,1.1,DEEP_SHADOWS;FACE_DARK
arman-kostanyan.jpg,1,0.309,0.0457,0.6972,0.274,0.3709,0.3223,0.228,0.039,0.0,0.88,1.1,DEEP_SHADOWS;FACE_DARK
armen-beklaryan.jpg,1,0.4433,0.137,0.7919,0.1836,0.5223,0.2288,0.009,0.0,0.0,0.94,1.0,MINIMAL_CORRECTION
artem-oganov.jpg,2,0.558,0.2157,0.9765,0.2632,0.5318,0.3538,-0.13,0.0,0.128,0.88,1.0,HIGHLIGHT_HEAVY
dmitriy-schegolev.jpg,1,0.471,0.1874,0.8906,0.2926,0.4535,0.3679,-0.028,0.0,0.034,0.88,1.0,MINIMAL_CORRECTION
eduard-fartushnyy.jpg,2,0.5084,0.1543,0.8603,0.2078,0.5621,0.2522,-0.074,0.0,0.0,0.94,1.0,MINIMAL_CORRECTION
eduard-sheremettsev.jpg,1,0.3977,0.0906,0.8409,0.3115,0.486,0.3233,0.075,0.009,0.0,0.88,1.0,MINIMAL_CORRECTION
egor-bologov.jpg,1,0.4571,0.0328,0.9001,0.3661,0.527,0.3762,-0.009,0.047,0.044,0.82,1.0,HIGHLIGHT_HEAVY;DEEP_SHADOWS
ekaterina-solntseva.jpg,1,0.5652,0.1943,0.8648,0.2355,0.4963,0.3287,-0.138,0.0,0.005,0.94,1.0,MINIMAL_CORRECTION
elena-aleksandrova.jpg,3,0.5904,0.1869,0.9467,0.1844,0.4896,0.3151,-0.165,0.0,0.095,0.94,1.0,HIGHLIGHT_HEAVY
evgeniy-bobrov.jpg,1,0.3779,0.0579,0.8815,0.2683,0.478,0.3871,0.106,0.031,0.024,0.88,1.0,DEEP_SHADOWS
evgeniy-danilov.jpg,1,0.2845,0.0603,0.6618,0.2242,0.3506,0.3241,0.315,0.029,0.0,0.94,1.1,DEEP_SHADOWS;FACE_DARK
filipp-kopylov.jpg,0,0.4017,0.0235,0.8924,0.2272,0.2738,0.4055,0.139,0.053,0.036,0.94,1.1,DEEP_SHADOWS;FACE_DARK;PROFILE_OR_NO_FACE_FALLBACK
